path,label,domain,source
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/919_biggan_00137.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/103_biggan_00011.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/207_biggan_00138.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/001_biggan_00033.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/389_biggan_00110.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/623_biggan_00083.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/681_biggan_00119.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/288_biggan_00148.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/423_biggan_00196.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/479_biggan_00190.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/080_biggan_00016.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/408_biggan_00051.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/507_biggan_00047.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/852_biggan_00131.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/375_biggan_00055.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/419_biggan_00095.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/324_biggan_00161.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/978_biggan_00181.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/762_biggan_00107.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/206_biggan_00076.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/313_biggan_00052.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/357_biggan_00007.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/756_biggan_00165.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/375_biggan_00096.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/773_biggan_00004.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/361_biggan_00159.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/657_biggan_00132.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/192_biggan_00082.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/859_biggan_00073.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/728_biggan_00189.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/961_biggan_00066.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/853_biggan_00012.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/169_biggan_00107.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/424_biggan_00105.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/883_biggan_00096.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/634_biggan_00011.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/197_biggan_00079.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/698_biggan_00175.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/409_biggan_00000.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/437_biggan_00050.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/012_biggan_00097.png,1,imagenet,imagenet_ai_0419_biggan
/kaggle/input/datasets/yangsangtai/tiny-genimage/imagenet_ai_0419_biggan/train/ai/364_biggan_00175.png,1,imagenet,imagenet_ai_0419_biggan
